popularity,is_collaboration,num_artists,track_name_length,release_year,release_month,release_day_of_week,is_explicit,artist_popularity,artist_followers
90,0,1,18,2025.0,7.0,0.0,1,87,24492412
89,1,2,58,2018.0,2.0,4.0,1,89,44682383
88,1,2,32,2017.0,7.0,4.0,1,87,24492412
88,1,3,9,2016.0,5.0,4.0,0,95,103251589
87,0,1,10,2002.0,5.0,6.0,1,88,104677300
87,0,1,11,2024.0,5.0,5.0,1,89,44682383
86,1,2,15,2007.0,9.0,1.0,1,89,31088986
86,1,2,20,2010.0,6.0,4.0,1,88,104677300
86,0,1,11,2004.0,11.0,4.0,1,88,104677300
86,0,1,9,2011.0,11.0,1.0,1,95,103251589
85,1,2,27,2024.0,10.0,0.0,1,87,24492412
85,0,1,14,2014.0,12.0,1.0,1,82,27099455
85,0,1,12,2017.0,3.0,5.0,1,95,103251589
85,1,3,7,2013.0,1.0,1.0,1,86,17967990
85,1,3,83,2023.0,8.0,4.0,1,82,17353539
85,0,1,5,2025.0,2.0,4.0,1,95,103251589
84,1,2,28,2024.0,11.0,4.0,1,89,44682383
84,1,2,10,2006.0,1.0,6.0,1,82,6020889
84,0,1,10,2016.0,9.0,4.0,1,90,41193212
84,0,1,10,2018.0,6.0,4.0,1,95,103251589
84,0,1,9,2008.0,11.0,0.0,0,89,31088986
83,0,1,4,2017.0,7.0,3.0,1,89,22723977
83,1,2,29,2025.0,7.0,4.0,1,95,103251589
83,1,2,17,2024.0,11.0,4.0,0,89,44682383
83,0,1,19,2019.0,10.0,4.0,1,90,41193212
83,1,2,31,2020.0,5.0,4.0,1,95,103251589
83,0,1,7,2017.0,4.0,4.0,1,89,44682383
83,1,2,26,2023.0,7.0,4.0,1,90,41193212
83,0,1,6,2017.0,11.0,4.0,1,82,19276073
83,1,2,15,2002.0,5.0,6.0,1,88,104677300
82,1,2,14,2004.0,2.0,1.0,1,89,31088986
82,0,1,8,2007.0,9.0,1.0,1,89,31088986
82,0,1,10,2003.0,2.0,3.0,1,83,18912162
82,1,2,19,2017.0,4.0,4.0,0,89,44682383
82,1,3,10,2025.0,2.0,4.0,1,83,10146489
82,1,2,12,1999.0,11.0,1.0,1,78,15116155
82,1,2,22,2025.0,10.0,3.0,1,80,6617029
82,0,1,10,2018.0,8.0,4.0,1,90,41193212
82,1,2,8,2002.0,5.0,6.0,1,88,104677300
82,0,1,7,2013.0,6.0,1.0,1,89,31088986
82,0,1,21,2007.0,9.0,1.0,1,89,31088986
82,1,3,9,2024.0,3.0,4.0,1,89,22723977
82,1,2,27,2016.0,4.0,2.0,1,89,22723977
82,0,1,22,2012.0,1.0,6.0,1,89,44682383
82,0,1,8,2007.0,9.0,1.0,1,89,31088986
82,0,1,21,2019.0,5.0,4.0,1,87,24492412
82,1,2,7,2010.0,11.0,0.0,1,89,31088986
81,1,2,15,2011.0,8.0,0.0,1,83,10393555
81,1,2,10,2007.0,9.0,1.0,1,89,31088986
81,1,2,8,2023.0,6.0,3.0,1,80,6617029
81,0,1,16,2018.0,8.0,4.0,0,90,41193212
81,0,1,1,2016.0,5.0,4.0,1,95,103251589
81,0,1,13,2016.0,5.0,4.0,0,95,103251589
81,0,1,6,2017.0,4.0,4.0,1,89,44682383
81,1,2,23,2015.0,9.0,4.0,1,90,41193212
81,0,1,25,1997.0,3.0,1.0,1,76,12787604
81,1,2,34,2017.0,10.0,0.0,1,78,5624184
81,0,1,13,2017.0,3.0,5.0,1,95,103251589
81,1,4,50,2015.0,5.0,1.0,1,82,17353539
80,1,4,46,2024.0,10.0,0.0,1,87,24492412
80,0,1,14,2005.0,3.0,3.0,1,83,18912162
80,1,2,27,2020.0,1.0,4.0,1,88,104677300
80,1,2,9,2019.0,2.0,4.0,1,81,25971799
80,0,1,10,2024.0,5.0,4.0,1,85,10381399
80,0,1,8,2011.0,9.0,1.0,1,82,27099455
80,1,2,10,2005.0,3.0,3.0,1,83,18912162
80,0,1,13,2019.0,10.0,4.0,1,85,14990942
80,0,1,10,2014.0,12.0,1.0,1,82,27099455
80,0,1,13,2017.0,8.0,4.0,1,82,19276073
80,1,2,29,2022.0,6.0,4.0,1,95,103251589
80,0,1,7,2023.0,7.0,4.0,1,90,41193212
80,1,2,11,0.0,0.0,0.0,1,89,44682383
80,0,1,25,1994.0,9.0,1.0,1,76,12787604
80,1,2,28,2025.0,3.0,4.0,1,86,15058026
80,0,1,20,2008.0,1.0,1.0,0,82,6020889
80,0,1,14,2018.0,6.0,4.0,1,89,31088986
80,0,1,13,2004.0,1.0,3.0,1,88,104677300
80,1,4,9,2024.0,3.0,4.0,1,89,22723977
80,1,2,19,2025.0,3.0,4.0,1,86,15058026
80,0,1,8,2023.0,7.0,4.0,1,90,41193212
80,0,1,11,2024.0,11.0,4.0,1,89,44682383
80,0,1,13,0.0,0.0,0.0,1,82,17353539
80,0,1,8,2017.0,6.0,4.0,1,89,22723977
80,0,1,16,2025.0,7.0,5.0,1,95,103251589
80,1,2,11,2005.0,8.0,1.0,1,89,31088986
79,0,1,12,2019.0,8.0,4.0,1,95,103251589
79,1,3,8,2024.0,2.0,4.0,1,69,1044048
79,1,2,32,2018.0,10.0,4.0,1,85,21687055
79,1,2,30,2021.0,9.0,4.0,1,95,103251589
79,0,1,6,2021.0,9.0,4.0,1,85,14990942
79,0,1,17,2010.0,11.0,0.0,1,89,31088986
79,0,1,10,2010.0,11.0,0.0,1,84,34311895
79,0,1,19,2018.0,9.0,4.0,1,86,17967990
79,1,2,41,2018.0,5.0,4.0,1,82,17353539
79,0,1,10,2010.0,6.0,4.0,1,88,104677300
79,0,1,14,2025.0,7.0,0.0,1,87,24492412
79,0,1,8,2017.0,4.0,4.0,1,86,15058026
79,1,3,9,2018.0,4.0,4.0,1,81,25971799
79,1,2,10,2018.0,6.0,4.0,1,89,31088986
79,1,2,17,2025.0,2.0,4.0,1,83,10146489
79,0,1,6,2005.0,1.0,5.0,1,82,6020889
